Series ID,Year,Period,Label,Value
CUUR0000SEEE03,1997,M12,1997 Dec,100.0
CUUR0000SEEE03,1998,M01,1998 Jan,100.2
CUUR0000SEEE03,1998,M02,1998 Feb,100.2
CUUR0000SEEE03,1998,M03,1998 Mar,100.2
CUUR0000SEEE03,1998,M04,1998 Apr,101.3
CUUR0000SEEE03,1998,M05,1998 May,103.4
CUUR0000SEEE03,1998,M06,1998 Jun,103.6
CUUR0000SEEE03,1998,M07,1998 Jul,103.6
CUUR0000SEEE03,1998,M08,1998 Aug,103.6
CUUR0000SEEE03,1998,M09,1998 Sep,103.4
CUUR0000SEEE03,1998,M10,1998 Oct,103.4
CUUR0000SEEE03,1998,M11,1998 Nov,103.3
CUUR0000SEEE03,1998,M12,1998 Dec,103.3
CUUR0000SEEE03,1999,M01,1999 Jan,103.3
CUUR0000SEEE03,1999,M02,1999 Feb,103.3
CUUR0000SEEE03,1999,M03,1999 Mar,103.3
CUUR0000SEEE03,1999,M04,1999 Apr,103.4
CUUR0000SEEE03,1999,M05,1999 May,77.5
CUUR0000SEEE03,1999,M06,1999 Jun,53.5
CUUR0000SEEE03,1999,M07,1999 Jul,79.4
CUUR0000SEEE03,1999,M08,1999 Aug,99.0
CUUR0000SEEE03,1999,M09,1999 Sep,96.2
CUUR0000SEEE03,1999,M10,1999 Oct,96.0
CUUR0000SEEE03,1999,M11,1999 Nov,96.0
CUUR0000SEEE03,1999,M12,1999 Dec,96.0
CUUR0000SEEE03,2000,M01,2000 Jan,96.1
CUUR0000SEEE03,2000,M02,2000 Feb,97.6
CUUR0000SEEE03,2000,M03,2000 Mar,97.9
CUUR0000SEEE03,2000,M04,2000 Apr,97.9
CUUR0000SEEE03,2000,M05,2000 May,97.4
CUUR0000SEEE03,2000,M06,2000 Jun,95.7
CUUR0000SEEE03,2000,M07,2000 Jul,95.7
CUUR0000SEEE03,2000,M08,2000 Aug,95.6
CUUR0000SEEE03,2000,M09,2000 Sep,95.5
CUUR0000SEEE03,2000,M10,2000 Oct,95.7
CUUR0000SEEE03,2000,M11,2000 Nov,95.8
CUUR0000SEEE03,2000,M12,2000 Dec,95.7
CUUR0000SEEE03,2001,M01,2001 Jan,95.5
CUUR0000SEEE03,2001,M02,2001 Feb,95.9
CUUR0000SEEE03,2001,M03,2001 Mar,95.9
CUUR0000SEEE03,2001,M04,2001 Apr,95.9
CUUR0000SEEE03,2001,M05,2001 May,95.8
CUUR0000SEEE03,2001,M06,2001 Jun,96.6
CUUR0000SEEE03,2001,M07,2001 Jul,99.1
CUUR0000SEEE03,2001,M08,2001 Aug,100.8
CUUR0000SEEE03,2001,M09,2001 Sep,100.2
CUUR0000SEEE03,2001,M10,2001 Oct,100.3
CUUR0000SEEE03,2001,M11,2001 Nov,100.4
CUUR0000SEEE03,2001,M12,2001 Dec,100.3
CUUR0000SEEE03,2002,M01,2002 Jan,98.2
CUUR0000SEEE03,2002,M02,2002 Feb,97.9
CUUR0000SEEE03,2002,M03,2002 Mar,98.2
CUUR0000SEEE03,2002,M04,2002 Apr,98.1
CUUR0000SEEE03,2002,M05,2002 May,96.3
CUUR0000SEEE03,2002,M06,2002 Jun,98.1
CUUR0000SEEE03,2002,M07,2002 Jul,100.3
CUUR0000SEEE03,2002,M08,2002 Aug,100.1
CUUR0000SEEE03,2002,M09,2002 Sep,100.2
CUUR0000SEEE03,2002,M10,2002 Oct,99.9
CUUR0000SEEE03,2002,M11,2002 Nov,99.9
CUUR0000SEEE03,2002,M12,2002 Dec,99.6
CUUR0000SEEE03,2003,M01,2003 Jan,99.7
CUUR0000SEEE03,2003,M02,2003 Feb,99.8
CUUR0000SEEE03,2003,M03,2003 Mar,100.0
CUUR0000SEEE03,2003,M04,2003 Apr,100.3
CUUR0000SEEE03,2003,M05,2003 May,100.2
CUUR0000SEEE03,2003,M06,2003 Jun,101.0
CUUR0000SEEE03,2003,M07,2003 Jul,99.7
CUUR0000SEEE03,2003,M08,2003 Aug,100.0
CUUR0000SEEE03,2003,M09,2003 Sep,100.8
CUUR0000SEEE03,2003,M10,2003 Oct,100.6
CUUR0000SEEE03,2003,M11,2003 Nov,98.0
CUUR0000SEEE03,2003,M12,2003 Dec,97.6
CUUR0000SEEE03,2004,M01,2004 Jan,98.3
CUUR0000SEEE03,2004,M02,2004 Feb,98.3
CUUR0000SEEE03,2004,M03,2004 Mar,98.7
CUUR0000SEEE03,2004,M04,2004 Apr,96.1
CUUR0000SEEE03,2004,M05,2004 May,95.6
CUUR0000SEEE03,2004,M06,2004 Jun,97.2
CUUR0000SEEE03,2004,M07,2004 Jul,97.3
CUUR0000SEEE03,2004,M08,2004 Aug,97.6
CUUR0000SEEE03,2004,M09,2004 Sep,97.4
CUUR0000SEEE03,2004,M10,2004 Oct,97.4
CUUR0000SEEE03,2004,M11,2004 Nov,97.2
CUUR0000SEEE03,2004,M12,2004 Dec,97.2
CUUR0000SEEE03,2005,M01,2005 Jan,97.2
CUUR0000SEEE03,2005,M02,2005 Feb,96.9
CUUR0000SEEE03,2005,M03,2005 Mar,96.7
CUUR0000SEEE03,2005,M04,2005 Apr,96.6
CUUR0000SEEE03,2005,M05,2005 May,96.5
CUUR0000SEEE03,2005,M06,2005 Jun,95.4
CUUR0000SEEE03,2005,M07,2005 Jul,95.6
CUUR0000SEEE03,2005,M08,2005 Aug,95.1
CUUR0000SEEE03,2005,M09,2005 Sep,94.9
CUUR0000SEEE03,2005,M10,2005 Oct,94.9
CUUR0000SEEE03,2005,M11,2005 Nov,94.2
CUUR0000SEEE03,2005,M12,2005 Dec,94.5
CUUR0000SEEE03,2006,M01,2006 Jan,94.5
CUUR0000SEEE03,2006,M02,2006 Feb,94.5
CUUR0000SEEE03,2006,M03,2006 Mar,95.8
CUUR0000SEEE03,2006,M04,2006 Apr,96.6
CUUR0000SEEE03,2006,M05,2006 May,96.8
CUUR0000SEEE03,2006,M06,2006 Jun,97.4
CUUR0000SEEE03,2006,M07,2006 Jul,97.3
CUUR0000SEEE03,2006,M08,2006 Aug,94.7
CUUR0000SEEE03,2006,M09,2006 Sep,93.1
CUUR0000SEEE03,2006,M10,2006 Oct,87.0
CUUR0000SEEE03,2006,M11,2006 Nov,81.1
CUUR0000SEEE03,2006,M12,2006 Dec,77.2
CUUR0000SEEE03,2007,M01,2007 Jan,73.399
CUUR0000SEEE03,2007,M02,2007 Feb,73.302
CUUR0000SEEE03,2007,M03,2007 Mar,73.460
CUUR0000SEEE03,2007,M04,2007 Apr,73.908
CUUR0000SEEE03,2007,M05,2007 May,73.953
CUUR0000SEEE03,2007,M06,2007 Jun,73.080
CUUR0000SEEE03,2007,M07,2007 Jul,72.919
CUUR0000SEEE03,2007,M08,2007 Aug,73.105
