Studio,Parent_Company
CBS Films,Paramount
MTV Films,Paramount
Nickelodeon Animation Studios,Paramount
Nickelodeon Movies,Paramount
Paramount Animation,Paramount
Paramount Classics,Paramount
Paramount Famous Lasky Corporation,Paramount
Paramount Pictures,Paramount
Paramount Players,Paramount
Paramount Vantage,Paramount
Paramount-Orion Filmproduktion,Paramount
British Columbia Arts Council,Sony
British Columbia Film,Sony
British Columbia Film Commission,Sony
British Columbia Hydro Authority,Sony
British Columbia Television,Sony
Columbia Films,Sony
Columbia Pictures,Sony
Columbia Pictures Corporation,Sony
Columbia Pictures Film Production Asia,Sony
Columbia Pictures Industries,Sony
Columbia Pictures Producciones Mexico,Sony
Columbia Pictures Television,Sony
Columbia Pictures Television Trading Company,Sony
Columbia Records,Sony
Columbia TriStar Comercio Internacional (Madeira) Ltda.,Sony
Columbia TriStar Home Video,Sony
Columbia-Delphi Productions,Sony
Deutsche Columbia Pictures Film Produktion,Sony
Deutsche Columbia TriStar Filmproduktion,Sony
Government of British Columbia Film Incentive BC Program,Sony
Province of British Columbia Production Services Tax Credit,Sony
RCA/Columbia Pictures Home Video,Sony
Screen Gems,Sony
Sony,Sony
Sony BMG Feature Films,Sony
Sony Music,Sony
Sony Music Entertainment,Sony
Sony Music Film,Sony
Sony New Technologies,Sony
Sony Pictures Animation,Sony
Sony Pictures Classics,Sony
Sony Pictures Entertainment,Sony
Sony Pictures Home Entertainment,Sony
Sony Pictures International,Sony
Sony Pictures International Productions,Sony
Sony Pictures Networks,Sony
Sony Pictures Networks Productions,Sony
Sony Pictures Post Production,Sony
Sony Pictures Releasing,Sony
Sony Pictures Television,Sony
TriStar Pictures,Sony
TriStar Productions,Sony
TriStar Television,Sony
China Film Group Universal Hot Bros. Film&Music Co.,Universal
DreamWorks,Universal
DreamWorks Animation,Universal
Focus Features,Universal
Focus Features International (FFI),Universal
Illumination Entertainment,Universal
Illumination Films,Universal
Illumination Productions,Universal
Illuminations Films,Universal
Oriental DreamWorks,Universal
Shanghai Universaljoy Pictures,Universal
Universal 1440 Entertainment,Universal
Universal City Studios,Universal
Universal Family and Home Entertainment,Universal
Universal Film Manufacturing Company,Universal
Universal International Pictures (UI),Universal
Universal Marion Corporation (UMC),Universal
Universal Pictures,Universal
Universal Pictures International (UPI),Universal
Universal Pictures International Production (UPIP),Universal
Universal Pictures Spain,Universal
Universal Productions,Universal
Universal Productions Canada,Universal
Universal Productions France,Universal
Universal Southwest Cinema,Universal
Universal Stage Productions,Universal
Universal Studios,Universal
HBO Documentary Films,Warner Bros.
HBO Films,Warner Bros.
HBO Independent Productions,Warner Bros.
HBO Max,Warner Bros.
HBO Pictures,Warner Bros.
HBO Romania,Warner Bros.
HBO Sports,Warner Bros.
HBO Theatrical Documentary,Warner Bros.
HBO/Cinemax Documentary,Warner Bros.
Home Box Office (HBO),Warner Bros.
Warner Bros.,Warner Bros.
Warner Bros. Animation,Warner Bros.
Warner Bros. Digital Distribution,Warner Bros.
Warner Bros. Discovery,Warner Bros.
Warner Bros. Family Entertainment,Warner Bros.
Warner Bros. Feature Animation,Warner Bros.
Warner Bros. Film Productions Germany,Warner Bros.
Warner Bros. Home Entertainment,Warner Bros.
Warner Bros. Pictures,Warner Bros.
Warner Bros. Pictures Animation,Warner Bros.
Warner Bros. Pictures Mexico,Warner Bros.
Warner Bros./Seven Arts,Warner Bros.
Warner Independent Pictures (WIP),Warner Bros.
Warner Music Entertainment,Warner Bros.
Warner Premiere,Warner Bros.
